id,name,syllabicdivision,primarymeaning,primaryexample,primaryreference
21,automatic,au-to-mat-ic,Que opera por meios mecânicos,"The framework can be adapted for the automatic segmentation of anatomical structures with well-defined shape [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
22,availability,a vail a bil i ty,disponibilidade,"The additional availability of frequency bands in low, mid, and high bands that together provide a combination of coverage","5G wireless access: an overview"
23,available,a-vail-a-ble,Que se encontra ao dispor,"[..] approaches which optimally exploit the available images and GT annotations are becoming more interesting.","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
24,backed,bac ked,apoiado, "It supports any kind of connected device or mobile app, and is backed by more than 10 years","Philips HealthSuiteDevice Cloud",
25,backend,back end, Processo interno, "...you avoid the cost and effort of setting up, maintaining and operating your own backend.","Philips HealthSuite Device Cloud.",
26,bandwidth,band width,largura de banda,"although the maximum total bandwidth is limited to 400 MHz","5G wireless access: an overview",
27,battery,bat-ter-y,Pilhas ou acumuladores elétricos de alimentação,"The 700 Series Ventilator System can be mains or battery powered.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
28,boolean,Bool e an,boleano,"Note that Boolean operations can be performed on any byte in the internal Data Memory space without going through the Accumulator","Atmel 8051 Microcontrollers Hardware Manual",
29,broadband,bro ad band,banda larga,"these do not fit several use cases, including those where some MTC-type communications might have mobile broadband requirements","5G wireless access: an overview"
30,bus,bus,Elo de comunicação consistindo de um conjunto de vias ou fios que conectam diferentes partes do sistema de hardware de um computador,"Bus monitor test  Verifies the microcontroller’s bus monitor can detect bus error conditions.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
31,cable,ca-ble,Feixe de fios metálicos protegidos por invólucros isoladores,"Attaches cable tie that retains main ventilator head harness.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
32,calculated,cal-cu-lat-ed,Resultado determinado por uma operação que envolve cálculos,"Transformation frequency was calculated as transformant cell density [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
33,calibration,cal-i-bra-tion,Ajustar algo usando calibre e instrumento de medição,"[...] a method for the calibration of radiometer detectors [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
34,capability,ca pa bil i ty, capacidade,"We also offer the capability to send mobile push notifications to most of the mobile platforms in use today","Philips HealthSuite Device Cloud"
35,capacitance,ca-pac-i-tance,Grandeza que mede a capacidade de armazenamento de energia em equipamentos e dispositivos elétricos,"The parasitic capacitance is equal to 1000pF.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
36,capacitor,ca-pac-i-tor,Componente eletrônico que armazena e descarregam cargas elétricas,"Wait ten minutes to ensure the backup alarm capacitor has time to charge.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
37,carrier,car ri er,portadora,"the requirement is fulfilled with intra-cell beam mobility or with carrier aggregation","5G wireless access: an overview"
38,chip,chip,Microcircuito integrado que realiza variado número de funções,"It also includes the location of the user via a GPS chip in the device.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
39,circuitry,cir-cui-try,Série de condutores elétricos que podem ser percorridos por uma corrente,"The values are not actualIy polIed by the circuitry until the next machine cycle.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
40,cluster,clus ter,grupo,"This does not  mean that the set must be modifiable through a commissioning cluster.","ZigBee Smart Energy Standard Document"
41,code,code,Sistema de símbolos que permite a representação de uma informação,"Separately, two codes bytes are fetched from Program Memory during every machine cycle.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
42,communication,com-mu-ni-ca-tion,Transmissão ou recepção de informações,"The walking stick connects directly to GSM (global system for mobile communication) [...]","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
43,comparison,Com pa ri son,Comparação," and for comparison how it can be done using XCH instructions","Atmel 8051 Microcontrollers Hardware Manual"
44,complete,com-ple-te,completo,"On the other hand, if bit2 = 1 C now contains the complemente of the correct result. It need only be inverted (CPL C) to complete the operation.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
45,components,com-po-nents,componentes,"All Philips HealthSuite device cloud portals are configured with items like device keys, device types, firmware components, etc.","Philips HealthSuiteDevice Cloud"
46,computed,com-put-ed,Passar pelo processo de cálculo de avaliação,"The destination address is computed at execution time [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
47,concatenating,con-ca-te-na-ting,Ação ou efeito de agrupar e conectar qualquer tipo de dado,"AJMP transfers program execution to the indicated address, which is formed at run-time by concatenating the high-order five bits of the PC (after incrementing the PC twice)[...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
48,configuration,con-fig-u-ra-tion,Ação ou efeito de configurar ou modificar,"Details of reactor configurations [...]","https://pubs.acs.org/doi/pdf/10.1021/acs.est.8b04393"
49,configured,con-fig-ur-ed,Estabelecer parâmetros para que algo funcione de determinada forma,"XTAL1 and XTAL2 are the input and output of a single-stage on-chip inverter, which can be configured with off-chip components as a Pierce oscillator, as shown in Figure 2-2.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
50,connectivity,con nec tiv i ty,conectividade,"The HealthSuite device cloud offers proven, reliable cloud connectivity services on a global scale","Philips HealthSuite Device Cloud"
51,connector,con-nec-tor,Dispositivo que efetua a ligação entre um ou mais pontos onde se necessita de comunicação de sinais,"Determine which voltage is out of bounds through pressure solenoid PCB test connector.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
52,consumption,con sump tion,consumo,"Examples of these capabilities include very high data rates, spectral efficiency and mobility requirements, ultra-low latency, ultra-high reliability, and very low device cost and energy consumption.","5G wireless access: an overview"
53,contains,con-ta-ins,Ato de reter ou guardar,"The Program Status Word (PSW) contains several status bits that reflect the current state of the CPU.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
54,control,con-trol,Ação de comandar e dominar,"[...] but it would have left the interrupt control system thinking na interrupt was still in progress.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
55,convert,con-vert,Sofrer ou ser alvo de alteração e transformação,"Note that DAA will not convert a binary number to BCD.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
56,counter,coun-ter,Recurso destinado a realizar contagens em geral,"They are identified as Timer 0 and Timer 1, and can be independently configured to operate in a variety of modes as a timer or as an event counter.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
57,counting,coun-ting,Valor final de uma somatória ou cômputo,"Register pairs (TH0, TL0), (TH1, TL1), and (TH2, TL2) are the 16-bit counting registers for Timer/Counters 0, 1, and 2, respectively.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
58,cryptographic,cryp to gra phic,criptográfico,"The Key Establishment cluster supports multiple cryptographic suites and, as a result, a device’s security credentials.","ZigBee Smart Energy Standard Document"
59,current,cur-rent,Movimento de cargas elétricas em um condutor,"A circuit breaker in the power assembly opens when current draw exceeds 4 A.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
60,customer,cus tom er,cliente,"Increase your operational excellence: Our always-on approach to customer service and 24/7 support offer ultimate confidence"," Philips HealthSuite Device Cloud"
61,cycle,cy-cle,Série de fenômenos que ocorrem numa determinada ordem,"The timer register is incremented once every peripheral cycle (6 peripheral clock periods).","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
62,damage,dam-age,Deteriorações ou estragos em algo,"Although DNA can also sustain damage at 5?-TC3?, 5?-CT-3? [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
63,data,da ta,dados,"The XRL , # data instruction, for example, offers a quick and easy way to invert port bits, as in XRL P1, #OFFH.","Atmel 8051 Microcontrollers Hardware Manual"
64,decrementing,de cre men ting,decrescente,"RET pops the high- and low-order bytes of the PC successively from the stack, decrementing the Stack Pointer by two.","Atmel 8051 Microcontrollers Hardware Manual"
65,deploying,de-ploy-ing,Introduzir ou fixar algo,"Active Protective is a belt that utilises ‘fall-in-progress’ technology, deploying airbag protection around the hip immediately prior to impact – within a fraction of a second.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
66,designed,de sig ned,projetado,"The underlying technological objectives and the capabilities of the network, however, have continued to shift into a new generation every 7 to 10 years, with each generation being designed to serve societal needs over a duration of 2 to 3 decades across markets around the globe.","5G wireless access: an overview"
67,detection,de-tec-tion,Percepção de algo através de seus indícios ou sinais,"Because a ventilator reset can be triggered by detection of an unexpected condition[...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
68,development,de-vel-op-ment,Ação de compor ou elaborar,"[...] can be integrated within the development process into a solution for a clinical application","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
69,device-de-vice,Aparelho ligado ou adaptado a instrumento ou máquina,"It requires a pressure measurement device [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
70,disable,di-sa-ble,Deixar de ter habilidade ou desativar algo,"Clear to disable multiprocessor communication feature.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
71,disconnect,dis-con-nect,Cessar uma conexão,"[...] immediately disconnect the ventilator from the oxygen supply and electrical power source.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
72,disease,dis-ease,Alteração da saúde que se manifesta por sintomas,"Quantitative imaging bio-markers could be better correlated to the disease status [...]","https://reader.elsevier.com/reader/sd/pii/S1361841516300998?token=77DEAD78C75278E92231AABB8231F0A4AAE588C18E3FC84AC91F11065D75FCBEB74FAB67AA484B2110A52992EB49065F"
73,dissipative,dis-si-pa-tive,Algo com a capacidade de espalhar,"Static-dissipative field service kit (includes wrist strap, static-dissipative mat, and ground cord).","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
74,downtime,down time,tempo de inatividade," in such a way that downtime for a deployment is counted in seconds","Philips HealthSuite Device Cloud"
75,electromagnetic,e-lec-tro-mag-net-ic,Que apresenta ao mesmo tempo fenômenos magnéticos e elétricos,"Electromagnetic susceptibility.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
76,eletronic,el-etron-ic,Diz-se de aparelho ou equipamento que funciona por meio de circuitos eletrônicos,"The Consumer Electronics Show (CES) 2017 showcased hundreds of new electronic inventions [...]","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
77,enable,en-a-ble,Tornar apto e capaz para alguma coisa,"[...] to enable an efficient work flow.","https://reader.elsevier.com/reader/sd/pii/S1361841516300998?token=77DEAD78C75278E92231AABB8231F0A4AAE588C18E3FC84AC91F11065D75FCBEB74FAB67AA484B2110A52992EB49065F"
78,encoding,en-co-ding,Instruções de um programa que foram ordenados e interligados,"* MOV A,ACC is not a valid Instruction. MOV A,@Ri Bytes: 1 Cycles: 1 Encoding: 1 1 1 0 0 1 1 i Operation: MOV (A) ? ((Ri ))","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
79,encrypted,en cryp ted,criptografado,"The device joins the network and is sent the network key encrypted with the key-transport key derived for the preinstalled trust center link key.","ZigBee Smart Energy Standard Document"
80,engineering,en-gi-neer-ing,Aplicação de métodos do conhecimento científico ou empírico destinados à utilização de recursos materiais e naturais ," Consult with your institution’s biomedical engineering department in case of interrupted ventilator operation [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
81,entry,en-try,Possibilidade de ter acesso e entrar,"An entry numbered 0 would be the RET opcode itself.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
82,equipment,e-quip-ment,Ferramenta utilizada para realizar alguma tarefa ou função,"Portable and mobile RF communications equipment can affect the performance of the 700 Series Ventilator System.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
83,examinations,ex-am-i-na-tions,Provas perante pessoas legalmente habilitadas em que se apura a aptidão ou capacidade de alguma coisa.,"[...] to support screening, diagnosis, therapy planning, treatment and follow-up examinations.","https://reader.elsevier.com/reader/sd/pii/S1361841516300998?token=77DEAD78C75278E92231AABB8231F0A4AAE588C18E3FC84AC91F11065D75FCBEB74FAB67AA484B2110A52992EB49065F"
84,execution,ex-e-cu-tion,Ação de executar alguma atividade,"The read and write strobes to external RAM are activated only during the execution of a MOVX instruction.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
85,external,ex-ter-nal,Que está por fora que vem do exterior,"Accesses to external Program Memory use signal PSEN (program store enable) as the read strobe.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
86,features,fea-tures,Conjunto das qualidades e particularidades que difere uma pessoa de outra ou uma coisa de outra,"For complete description of the features of the BSL and its implementation, see the MSP430 Programming Via the Bootstrap Loader User’s Guide [..]","https://www.ti.com/lit/ds/slas504g/slas504g.pdf?ts=1601574699205&ref_url=https%253A%252F%252Fwww.google.com%252F"
87,filter,fil-ter,Peça que evita ruídos parasitos num aparelho,"Removal/replacement of line filter, circuit breaker, power switch, power supply, or power assembly harnesses.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
88,footprint,foot print,pegada,"The device client is very low footprint and has been successfully implemented in millions of devices already.","Philips HealthSuite Device Cloud"
89,framework,fra me work,estrutura,"Application Framework","ZigBee Smart Energy Standard Document"
90,frequency,fre-quen-cy,Número de vibrações por unidade de tempo em um fenômeno periódico,"Normalized (log10-scale) measured transformation frequency [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
91,generate,ge-ne-ra-te,Dar origem ou produzir,"The Data Pointer is used to generate 16-bit addresses [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
92,generation,gen-er-a-tion,Ato de gerar,"[...] they enabled also the generation of many more images.","https://reader.elsevier.com/reader/sd/pii/S1361841516300998?token=77DEAD78C75278E92231AABB8231F0A4AAE588C18E3FC84AC91F11065D75FCBEB74FAB67AA484B2110A52992EB49065F"
93,ground,ground,Ponto de referência para um potencial elétrico de zero volt,"Static-dissipative field service kit (includes wrist strap, static-dissipative mat, and ground cord.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
94,gyroscope,gy-ro-scope,Dispositivo cujo eixo de rotação mantém sempre a mesma direção na ausência de forças que o perturbem,"[...] to create a ‘smart cane’ that incorporates several movement sensors, including an accelerometer and gyroscope.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
95,harness,har-ness,Cabo ou fio que conduz energia,"Check harness connections between oxygen sensor and ventilator main head harness.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
96,heaters,heat-ers,Aparelho que serve para aquecer algo,"Heaters heat the exhalation assembly walls to minimize moisture in the assembly[...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
97,highly,high ly,altamente,"Enjoy peace of mind: Our services are proven to be highly secure and audited for compliance","Philips HealthSuiteDevice Cloud"
98,host,host,hospedeiro,": It will host all firmware and software components, as well as the logic needed to support a smooth distribution","Philips HealthSuite Device Cloud"
99,hotspot,hot spot,ponto de acesso,"The requirement on area traffic capacity is 10 Mbps/m2 for downlink in the in the indoor hotspot scenario.","5G wireless access: an overview"
100,humidifier,hu-mid-i-fi-er,Equipamento que aumenta a quantidade de umidade em um ambiente ou em uma corrente de ar,"The 700 Series Ventilator exhalation system has been modified to reduce the chances of rain out in the exhalation system from the humidifier [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
101,impedance,im-ped-ance,Medida da resistência de um circuito elétrico,"In that conditions it can be used as a high-impedance input.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
102,improve,im prove,melhorar,"improve performance and enable new use cases","5G wireless access: an overview"
103,incremented,in-cre-men-ted,Acrescentar ou aumentar alguma coisa,"[...] and the Program Counter is not incremented.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
104,indexed,in dex ed,indexado,"Only Program Memory can be accessed with indexed addressing, and it can only be read.","Atmel 8051 MicrocontrollersHardware Manual"
105,initialize,i-ni-ti-a-li-ze,Ato de iniciar e dar partida,"The Data Transfer instructions include a 16-bit MOV that can be used to initialize the Data Pointer (DPTR) for look-up tables in Program Memory, or for 16-bit external Data Memory accesses.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
106,inspect,in-spect,Ação ou resultado de averiguar,"Visually inspect ventilator exterior and interior for obvious problems [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
107,instruction,in-struc-tion,Preceito instrutivo,"Another application of this instruction is in “greater than, less than” comparisons.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
108,internal,in-ter-nal,Que está dentro,"Note that Boolean operations can be performed on any byte in the internal Data Memory space without going through the Accumulator.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
109,interoperability,in ter op er a bil i ty,interoperabilidade,"In order to ensure interoperability, all ZigBee Smart Energy devices shall implement compatible Startup Attribute Sets (SAS) as defined in this specification.","ZigBee Smart Energy Standard Document"
110,interrupt,in-ter-rupt,Ação ou efeito de interromper cessar ou suspender a ação,"When operating as a timer, the timer/counter runs for a programmed length of time, then issues an interrupt request.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
111,inventions,in-ven-tions,Ato de criar uma nova tecnologia, processo ou objeto,"The Consumer Electronics Show (CES) 2017 showcased hundreds of new electronic inventions [...]","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
112,latency,la ten cy,latência,"The compatibility to prepare for future use cases and technologies, and the low latency to improve performance and enable new use cases","5G wireless access: an overview"
113,lenght,lenght,Extensão de algo,"[...] values with the length and nucleotide content of each amplicon [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
114,level,lev-el,Valor atingido por uma grandeza,"So this figure shows it takes some machine cycles before having a true high level during a 0-to-1 transition.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
115,log,log,registro,"We add billions of log records annually.","Philips HealthSuiteDevice Cloud"
116,logical,lo-gi-cal,Conforme com as regras da lógica e coerência,"All of the logical instructions that are Accumulator specific execute in 1 ?s (using a 12 MHz clock and X1 mode).","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
117,machine,ma-chine,Aparelho que transforma o trabalho mecânico em energia elétrica,"[...] efficient approaches for ground truth generation are needed to match the increasing demands regarding validation and machine learning.","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
118,maintaining,main tai ning,manutenção,"Offered as a Platform-as-a-Service (PaaS), you avoid the cost and effort of setting up, maintaining and operating your own backend.","Philips HealthSuite Device Cloud"
119,maintenance,main-te-nance,Conjunto de ações que ajudam no bom e correto funcionamento de algo,"The user of this product shall have sole responsibility for any ventilator malfunction due to operation or maintenance performed [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
120,management,man-age-ment,Gestão/Gerenciamento,"The source code is also available for download from the ZigBee document management system [B6].","ZigBee Smart Energy Standard Document"
121,manual,ma-nu-al,Livro pequeno que encerra os conhecimentos básicos de uma ciência ou uma técnica,"Atmel 8051 Microcontrollers Hardware Manual.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
122,manufacturing,man u fac tur ing,manufatura,"This includes industries such as automotive, logistics, public safety, media, and manufacturing.","5G wireless access: an overview"
123,master,mas-ter,Algo muito entendido sobre determinado assunto,"To communicate with all of the slaves, the master must send an address FFh.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
124,materials,ma-te-ri-als,Objetos ou recursos necessários para se realizar uma tarefa,"Chemicals and Materials [...]","https://pubs.acs.org/doi/pdf/10.1021/acs.est.8b04393"
125,measurement,meas-ure-ment,Ação ou efeito de medir e determinar o valor,"Details of reactor configurations, additional experiments, disinfectant exposure measurements [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
126-chan-ics,Combinação de órgãos próprios para produzir ou transmitir movimentos,"[...] complex patient-specific simulations of the heart including cardiac mechanics [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
127,memory,mem-o-ry,Faculdade de reter ideias anteriores adquiridas,"Only Program Memory can be accessed with indexed addressing [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
128,metering,me-ter-ing,Medição,"Metering networks are primarily installed by specialized service personnel, but other devices in the network may be added by home owners, or home automation professionals who may not have any ZigBee expertise.","ZigBee Smart Energy Standard Document"
129,microcontroller,mi-cro-con-trol-ler,Pequeno computador num único circuito integrado,"The Atmel 80C51 Microcontrollers implement two general purpose, 16-bit timers/counters.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
130,mobile,mo-bile,Que pode ser movido ou algo instável,"The walking stick connects directly to GSM (global system for mobile communication) networks [...] ","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
131,mode,mode,Maneira de realizar algo,"The two operands allow six addressing mode combinations.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
132,Monitoring,mon-i-tor-ing,monitoramento,"Monitoring, diagnostics and reporting","Philips HealthSuite Device Cloud"
133,motion,mo-tion,Mudança sucessiva de algo,"This 3D motion sensor pack tracks total body movement by six triangular sensors that can be placed anywhere on the body and visualise the user’s movement in real-time.","ttps://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
